sender,receiver,ligand,receptor,score,pvalue
fibroblast,immune,CXCL12,CXCR4,3.5803915071023233,
endothelial,immune,CXCL12,CXCR4,3.261771164536712,
fibroblast,endothelial,CXCL12,CXCR4,2.998609111201575,
immune,immune,CXCL12,CXCR4,2.8019331462495547,
fibroblast,fibroblast,CXCL12,CXCR4,2.7648991722405727,
fibroblast,epithelial,CXCL12,CXCR4,2.680072842858178,
endothelial,endothelial,CXCL12,CXCR4,2.6799887686359636,0.0
endothelial,fibroblast,CXCL12,CXCR4,2.4462788296749616,
endothelial,epithelial,CXCL12,CXCR4,2.361452500292567,
immune,endothelial,CXCL12,CXCR4,2.2201507503488065,
immune,fibroblast,CXCL12,CXCR4,1.986440811387804,
epithelial,immune,CXCL12,CXCR4,1.9472474762969458,
immune,epithelial,CXCL12,CXCR4,1.9016144820054095,
epithelial,endothelial,CXCL12,CXCR4,1.3654650803961976,
epithelial,fibroblast,CXCL12,CXCR4,1.1317551414351952,
epithelial,epithelial,CXCL12,CXCR4,1.0469288120528006,
immune,fibroblast,CD274,PDCD1,0.11572074318937055,
immune,epithelial,CD274,PDCD1,0.10946377297043149,
fibroblast,fibroblast,CD274,PDCD1,0.039349543349084595,
fibroblast,epithelial,CD274,PDCD1,0.033092573130145526,
epithelial,fibroblast,CD274,PDCD1,0.012848223339297317,
epithelial,epithelial,CD274,PDCD1,0.006591253120358251,
