gene,cell_type,n_cells,n_detected,detection_rate,mean_expression
CD274,ALL,7163,53,0.007399134440876727,0.03305242583155632
CD274,epithelial,5355,16,0.002987861811391223,0.012423794716596603
CD274,immune,361,17,0.04709141274238227,0.21816883981227875
CD274,endothelial,49,0,0.0,0.0
CD274,fibroblast,1398,20,0.01430615164520744,0.06542643159627914
PDCD1,ALL,7163,5,0.0006980315510261064,0.003157625673338771
PDCD1,epithelial,5355,1,0.00018674136321195143,0.0007587120053358376
PDCD1,immune,361,0,0.0,0.0
PDCD1,endothelial,49,0,0.0,0.0
PDCD1,fibroblast,1398,4,0.002861230329041488,0.01327265240252018
