gene,role,in_panel,global_n_cells,global_n_detected,global_detection_rate,global_mean_expression,epithelial_detection_rate,immune_detection_rate,endothelial_detection_rate,fibroblast_detection_rate
CCL2,ligand,False,7163,0,0.0,0.0,0.0,0.0,0.0,0.0
CCL5,ligand,True,7163,231,0.03224905765740611,0.1681285798549652,0.007282913165266107,0.1523545706371191,0.02040816326530612,0.09728183118741059
CCR2,receptor,False,7163,0,0.0,0.0,0.0,0.0,0.0,0.0
CCR5,receptor,False,7163,0,0.0,0.0,0.0,0.0,0.0,0.0
CD274,ligand,True,7163,53,0.007399134440876727,0.03305242583155632,0.002987861811391223,0.04709141274238227,0.0,0.01430615164520744
CD74,receptor,False,7163,0,0.0,0.0,0.0,0.0,0.0,0.0
CXCL10,ligand,False,7163,0,0.0,0.0,0.0,0.0,0.0,0.0
CXCL12,ligand,True,7163,1339,0.1869328493647913,1.0194607973098755,0.06162464985994398,0.3767313019390582,0.5510204081632653,0.6051502145922747
CXCL9,ligand,False,7163,0,0.0,0.0,0.0,0.0,0.0,0.0
CXCR3,receptor,False,7163,0,0.0,0.0,0.0,0.0,0.0,0.0
CXCR4,receptor,True,7163,2812,0.3925729442970822,1.9442275762557983,0.37591036414565826,0.6537396121883656,0.46938775510204084,0.38626609442060084
EGF,ligand,False,7163,0,0.0,0.0,0.0,0.0,0.0,0.0
EGFR,receptor,True,7163,1351,0.18860812508725394,0.8251043558120728,0.2253968253968254,0.0221606648199446,0.02040816326530612,0.09656652360515021
FGF2,ligand,False,7163,0,0.0,0.0,0.0,0.0,0.0,0.0
FGFR1,receptor,False,7163,0,0.0,0.0,0.0,0.0,0.0,0.0
HGF,ligand,False,7163,0,0.0,0.0,0.0,0.0,0.0,0.0
IFNG,ligand,False,7163,0,0.0,0.0,0.0,0.0,0.0,0.0
IFNGR1,receptor,False,7163,0,0.0,0.0,0.0,0.0,0.0,0.0
IL1B,ligand,False,7163,0,0.0,0.0,0.0,0.0,0.0,0.0
IL1R1,receptor,False,7163,0,0.0,0.0,0.0,0.0,0.0,0.0
IL6,ligand,False,7163,0,0.0,0.0,0.0,0.0,0.0,0.0
IL6R,receptor,False,7163,0,0.0,0.0,0.0,0.0,0.0,0.0
JAG1,ligand,False,7163,0,0.0,0.0,0.0,0.0,0.0,0.0
KDR,receptor,True,7163,140,0.01954488342873098,0.09379389137029648,0.010830999066293184,0.0110803324099723,0.7755102040816326,0.02861230329041488
MET,receptor,False,7163,0,0.0,0.0,0.0,0.0,0.0,0.0
MIF,ligand,False,7163,0,0.0,0.0,0.0,0.0,0.0,0.0
NOTCH1,receptor,False,7163,0,0.0,0.0,0.0,0.0,0.0,0.0
PDCD1,receptor,True,7163,5,0.0006980315510261064,0.003157625673338771,0.00018674136321195143,0.0,0.0,0.002861230329041488
PDGFB,ligand,False,7163,0,0.0,0.0,0.0,0.0,0.0,0.0
PDGFRA,receptor,True,7163,3759,0.5247801200614268,2.6439592838287354,0.5462184873949579,0.19667590027700832,0.22448979591836735,0.5379113018597997
PDGFRB,receptor,True,7163,572,0.07985480943738657,0.3955462574958801,0.01942110177404295,0.08587257617728532,0.20408163265306123,0.3054363376251788
TGFB1,ligand,False,7163,0,0.0,0.0,0.0,0.0,0.0,0.0
TGFBR1,receptor,False,7163,0,0.0,0.0,0.0,0.0,0.0,0.0
TGFBR2,receptor,False,7163,0,0.0,0.0,0.0,0.0,0.0,0.0
TNF,ligand,False,7163,0,0.0,0.0,0.0,0.0,0.0,0.0
TNFRSF1A,receptor,False,7163,0,0.0,0.0,0.0,0.0,0.0,0.0
VEGFA,ligand,False,7163,0,0.0,0.0,0.0,0.0,0.0,0.0
