sender,receiver,ligand,receptor,compositional_observed_score,compositional_null_mean,compositional_null_std,compositional_empirical_pvalue,compositional_z_score,compositional_significant,n_qualifying_edges,edge_observed_score,edge_null_mean,edge_null_std,edge_empirical_pvalue,edge_z_score,edge_significant,verdict_flip,learned_communication_score,n_qualifying_edges_learned,learned_rank
fibroblast,immune,CXCL12,CXCR4,3.580391507102324,1.4843947768211363,0.0675391364864365,0.0,31.033810014762512,True,972,16.504263918634425,2.358666508647544,0.479427602780605,0.0,29.50517935960431,True,False,0.9866902828216553,972,2
endothelial,immune,CXCL12,CXCR4,3.261771164536712,1.4722005579024553,0.1666981000793325,0.0,10.735398938455749,True,19,16.694364610787442,2.143258215189282,2.0149927431157706,0.0,7.22141875960202,True,False,0.9681346416473389,19,5
fibroblast,endothelial,CXCL12,CXCR4,2.998609111201575,1.4775583785772324,0.1758228414152166,0.0,8.651041698457632,True,128,11.29286938596982,2.3097460610975022,1.3450411296137978,0.0,6.678697868110282,True,False,0.8767560124397278,128,10
immune,immune,CXCL12,CXCR4,2.8019331462495547,1.4860654205083847,0.0842887014163855,0.0,15.611436688777465,True,827,7.896593786989074,2.4192287820192204,1.0035805281177808,0.0,5.457823115841709,True,False,0.9934507608413696,827,1
fibroblast,fibroblast,CXCL12,CXCR4,2.7648991722405727,1.483275594830513,0.0402162404113514,0.0,31.868309028914275,True,4702,9.14739803929066,2.344855302123002,0.2977502463735876,0.0,22.846472236441063,True,False,0.9500649571418762,4702,7
fibroblast,epithelial,CXCL12,CXCR4,2.680072842858178,1.4849150581359862,0.027851358481487,0.0,42.912010396786165,True,2586,3.0379412023976715,2.353000059225643,0.1474847358895523,0.0,4.644149369362292,True,False,0.7722641229629517,2586,19
endothelial,endothelial,CXCL12,CXCR4,2.679988768635964,1.4653641596585512,0.2433157585200932,0.0,4.991968528323282,True,27,6.632521458962848,1.3642181778449058,4.575857453440211,0.084,1.1513259175407962,False,True,0.9169856905937195,27,9
endothelial,fibroblast,CXCL12,CXCR4,2.4462788296749616,1.4710813759118315,0.1572546100707623,0.0,6.2013918277137,True,121,8.732020054358596,2.23981674413347,1.2544725925137488,0.0,5.17524523769456,True,False,0.8743469715118408,121,11
endothelial,epithelial,CXCL12,CXCR4,2.361452500292567,1.4727208392173052,0.1567745709165976,0.0,5.668850859416846,True,127,2.2193930862688216,2.3057292094926947,0.8969228575560688,0.506,-0.0962581369139385,False,True,0.7569369673728943,127,21
immune,endothelial,CXCL12,CXCR4,2.2201507503488065,1.4792290222644806,0.1819468014967462,0.0,4.07218880458075,True,17,6.253537199135642,2.514530397470055,2.455729868354413,0.076,1.5225643707184693,False,True,0.9589951634407043,17,6
immune,fibroblast,CXCL12,CXCR4,1.986440811387804,1.4849462385177612,0.0613875209217034,0.0,8.169324405682927,True,962,5.80336943195573,2.3334452764379483,0.4628408867655963,0.0,7.497013022695873,True,False,0.9845556020736694,962,3
epithelial,immune,CXCL12,CXCR4,1.9472474762969456,1.4808171236515044,0.0647179972159646,0.0,7.207119699470278,True,334,1.75364265760699,2.3249735365287405,0.3551519523718196,0.944,-1.6086941803535584,False,True,0.8244990706443787,334,14
immune,epithelial,CXCL12,CXCR4,1.9016144820054093,1.4865857018232345,0.053764049948427,0.0,7.719447857449166,True,360,2.611349435813482,2.358490061304433,0.299095982709464,0.192,0.8454121390011169,False,True,0.8297826051712036,360,12
epithelial,endothelial,CXCL12,CXCR4,1.3654650803961976,1.4739807254076005,0.1737232611250478,0.73,-0.6246466035040187,False,117,1.1316041951739195,2.3165552682324475,0.9627274209583552,0.914,-1.2308271762727587,False,False,0.7527683973312378,117,22
epithelial,fibroblast,CXCL12,CXCR4,1.1317551414351952,1.479697941660881,0.0309174698048212,1.0,-11.253922213629128,False,2276,1.4847231135701264,2.329956608298,0.1608605234850928,1.0,-5.254449484656828,False,False,0.7738621830940247,2276,17
epithelial,epithelial,CXCL12,CXCR4,1.0469288120528006,1.4813374049663544,0.0112069870232454,1.0,-38.76229998415323,False,29403,0.4406317882090574,2.332080839211504,0.0685989090367648,1.0,-27.57258209439957,False,False,0.7922727465629578,29403,15
immune,fibroblast,CD274,PDCD1,0.1157207431893705,0.0182171234919223,0.0102324949855025,0.0,9.52882164473002,True,962,0.0,0.0,0.0,1.0,0.0,False,True,0.9845556020736694,962,3
immune,epithelial,CD274,PDCD1,0.1094637729704314,0.0182725054713082,0.0101056506706093,0.0,9.023789805473712,True,360,0.0,0.0,0.0,1.0,0.0,False,True,0.8297826051712036,360,12
fibroblast,fibroblast,CD274,PDCD1,0.0393495433490845,0.0183805266239214,0.0048187619290001,0.0,4.351536148521415,True,4702,0.0,0.0,0.0,1.0,0.0,False,True,0.9500649571418762,4702,7
fibroblast,epithelial,CD274,PDCD1,0.0330925731301455,0.0184359086033073,0.0046616029613875,0.002,3.1441254538922943,True,2586,0.0,0.0,0.0,1.0,0.0,False,True,0.7722641229629517,2586,19
epithelial,fibroblast,CD274,PDCD1,0.0128482233392973,0.017961209698813,0.0019612231301241,1.0,-2.607039597372093,False,2276,0.0,0.0,0.0,1.0,0.0,False,False,0.7738621830940247,2276,17
epithelial,epithelial,CD274,PDCD1,0.0065912531203582,0.0180165916781988,0.0013996803847366,1.0,-8.162819656853822,False,29403,0.0,0.0,0.0,1.0,0.0,False,False,0.7922727465629578,29403,15
