sender,receiver,ligand,receptor,n_qualifying_edges,edge_observed_score,edge_null_mean,edge_null_std,edge_empirical_pvalue,edge_z_score,edge_significant
fibroblast,immune,CXCL12,CXCR4,1094,20.205817916711535,2.3461499248868867,0.4513235434576465,0.001996007984031936,39.5717623215476,True
fibroblast,epithelial,CXCL12,CXCR4,919,6.635231250940054,2.3535909806406172,0.22964368219080594,0.001996007984031936,18.644711796346805,True
immune,immune,CXCL12,CXCR4,3009,11.625852316904956,2.363852839778633,0.47628141878225977,0.001996007984031936,19.44648502309221,True
fibroblast,fibroblast,CXCL12,CXCR4,1791,5.595107309394814,2.335449916369221,0.5869714735667513,0.001996007984031936,5.553348910157727,True
immune,epithelial,CXCL12,CXCR4,576,3.5362580912742487,2.3564256389201934,0.1886736327514624,0.001996007984031936,6.253298010688304,True
immune,fibroblast,CXCL12,CXCR4,1053,4.259436905171341,2.344563273568101,0.4400627718349365,0.001996007984031936,4.351364746485513,True
epithelial,immune,CXCL12,CXCR4,463,2.9220718518588056,2.3337871395815952,0.2241290932790158,0.007984031936127744,2.624758364345236,True
epithelial,epithelial,CXCL12,CXCR4,33418,0.5532421470609976,2.330675679927284,0.05859235056346065,1.0,-30.33559015423302,False
epithelial,fibroblast,CXCL12,CXCR4,655,1.2721778649169344,2.339701399566342,0.2494788415877459,1.0,-4.279014315825022,False
immune,immune,CD274,PDCD1,3009,0.0,0.0,0.0,1.0,0.0,False
immune,epithelial,CD274,PDCD1,576,0.0,0.0,0.0,1.0,0.0,False
immune,fibroblast,CD274,PDCD1,1053,0.0,0.0,0.0,1.0,0.0,False
fibroblast,immune,CD274,PDCD1,1094,0.0,0.0,0.0,1.0,0.0,False
fibroblast,epithelial,CD274,PDCD1,919,0.0,0.0,0.0,1.0,0.0,False
fibroblast,fibroblast,CD274,PDCD1,1791,0.0,0.0,0.0,1.0,0.0,False
epithelial,immune,CD274,PDCD1,463,0.0,0.0,0.0,1.0,0.0,False
epithelial,epithelial,CD274,PDCD1,33418,0.0,0.0,0.0,1.0,0.0,False
epithelial,fibroblast,CD274,PDCD1,655,0.0,0.0,0.0,1.0,0.0,False
