sender,receiver,ligand,receptor,n_qualifying_edges,edge_observed_score,edge_null_mean,edge_null_std,edge_empirical_pvalue,edge_z_score,edge_significant
endothelial,immune,CXCL12,CXCR4,19,16.694364610787442,2.143258215189282,2.0149927431157706,0.0,7.22141875960202,True
fibroblast,immune,CXCL12,CXCR4,972,16.504263918634425,2.358666508647544,0.47942760278060503,0.0,29.50517935960431,True
fibroblast,endothelial,CXCL12,CXCR4,128,11.29286938596982,2.3097460610975022,1.3450411296137978,0.0,6.678697868110282,True
fibroblast,fibroblast,CXCL12,CXCR4,4702,9.147398039290659,2.344855302123002,0.2977502463735876,0.0,22.846472236441066,True
endothelial,fibroblast,CXCL12,CXCR4,121,8.732020054358596,2.2398167441334706,1.2544725925137488,0.0,5.1752452376945595,True
immune,immune,CXCL12,CXCR4,827,7.896593786989074,2.4192287820192204,1.0035805281177808,0.0,5.457823115841709,True
endothelial,endothelial,CXCL12,CXCR4,27,6.632521458962848,1.3642181778449058,4.575857453440211,0.084,1.1513259175407962,False
immune,endothelial,CXCL12,CXCR4,17,6.253537199135642,2.514530397470055,2.4557298683544135,0.076,1.5225643707184693,False
immune,fibroblast,CXCL12,CXCR4,962,5.80336943195573,2.3334452764379483,0.4628408867655963,0.0,7.497013022695873,True
fibroblast,epithelial,CXCL12,CXCR4,2586,3.0379412023976715,2.353000059225643,0.14748473588955233,0.0,4.644149369362292,True
immune,epithelial,CXCL12,CXCR4,360,2.611349435813482,2.358490061304433,0.299095982709464,0.192,0.8454121390011169,False
endothelial,epithelial,CXCL12,CXCR4,127,2.2193930862688216,2.3057292094926947,0.8969228575560688,0.506,-0.09625813691393854,False
epithelial,immune,CXCL12,CXCR4,334,1.7536426576069901,2.3249735365287405,0.3551519523718196,0.944,-1.6086941803535584,False
epithelial,fibroblast,CXCL12,CXCR4,2276,1.4847231135701264,2.329956608298,0.16086052348509286,1.0,-5.254449484656828,False
epithelial,endothelial,CXCL12,CXCR4,117,1.1316041951739197,2.3165552682324475,0.9627274209583552,0.914,-1.2308271762727587,False
epithelial,epithelial,CXCL12,CXCR4,29403,0.44063178820905746,2.3320808392115038,0.06859890903676481,1.0,-27.57258209439957,False
immune,fibroblast,CD274,PDCD1,962,0.0,0.0,0.0,1.0,0.0,False
immune,epithelial,CD274,PDCD1,360,0.0,0.0,0.0,1.0,0.0,False
fibroblast,fibroblast,CD274,PDCD1,4702,0.0,0.0,0.0,1.0,0.0,False
fibroblast,epithelial,CD274,PDCD1,2586,0.0,0.0,0.0,1.0,0.0,False
epithelial,fibroblast,CD274,PDCD1,2276,0.0,0.0,0.0,1.0,0.0,False
epithelial,epithelial,CD274,PDCD1,29403,0.0,0.0,0.0,1.0,0.0,False
