sender,receiver,ligand,receptor,observed_score,null_mean,null_std,empirical_pvalue,z_score,significant
fibroblast,immune,CXCL12,CXCR4,3.580391507102324,1.4843947768211365,0.06753913648643656,0.0,31.033810014762512,True
endothelial,immune,CXCL12,CXCR4,3.261771164536712,1.4722005579024553,0.16669810007933256,0.0,10.735398938455747,True
fibroblast,endothelial,CXCL12,CXCR4,2.998609111201575,1.4775583785772324,0.17582284141521665,0.0,8.651041698457632,True
immune,immune,CXCL12,CXCR4,2.8019331462495547,1.4860654205083847,0.08428870141638552,0.0,15.611436688777465,True
fibroblast,fibroblast,CXCL12,CXCR4,2.7648991722405727,1.483275594830513,0.04021624041135149,0.0,31.868309028914275,True
fibroblast,epithelial,CXCL12,CXCR4,2.680072842858178,1.4849150581359862,0.02785135848148707,0.0,42.912010396786165,True
endothelial,endothelial,CXCL12,CXCR4,2.679988768635964,1.4653641596585512,0.24331575852009324,0.0,4.991968528323282,True
endothelial,fibroblast,CXCL12,CXCR4,2.4462788296749616,1.4710813759118317,0.1572546100707623,0.0,6.2013918277136995,True
endothelial,epithelial,CXCL12,CXCR4,2.361452500292567,1.4727208392173052,0.1567745709165976,0.0,5.668850859416846,True
immune,endothelial,CXCL12,CXCR4,2.2201507503488065,1.4792290222644806,0.1819468014967462,0.0,4.07218880458075,True
immune,fibroblast,CXCL12,CXCR4,1.986440811387804,1.4849462385177612,0.0613875209217034,0.0,8.169324405682927,True
epithelial,immune,CXCL12,CXCR4,1.9472474762969456,1.4808171236515044,0.06471799721596462,0.0,7.207119699470278,True
immune,epithelial,CXCL12,CXCR4,1.9016144820054093,1.4865857018232345,0.05376404994842701,0.0,7.719447857449166,True
epithelial,endothelial,CXCL12,CXCR4,1.3654650803961976,1.4739807254076005,0.17372326112504785,0.73,-0.6246466035040187,False
epithelial,fibroblast,CXCL12,CXCR4,1.1317551414351952,1.479697941660881,0.03091746980482127,1.0,-11.253922213629128,False
epithelial,epithelial,CXCL12,CXCR4,1.0469288120528006,1.4813374049663544,0.01120698702324548,1.0,-38.76229998415323,False
immune,fibroblast,CD274,PDCD1,0.1157207431893705,0.018217123491922393,0.010232494985502553,0.0,9.52882164473002,True
immune,epithelial,CD274,PDCD1,0.1094637729704314,0.01827250547130825,0.01010565067060934,0.0,9.023789805473713,True
fibroblast,fibroblast,CD274,PDCD1,0.0393495433490845,0.018380526623921468,0.0048187619290001715,0.0,4.351536148521415,True
fibroblast,epithelial,CD274,PDCD1,0.0330925731301455,0.018435908603307325,0.004661602961387512,0.002,3.1441254538922943,True
epithelial,fibroblast,CD274,PDCD1,0.0128482233392973,0.017961209698813037,0.0019612231301241647,1.0,-2.607039597372093,False
epithelial,epithelial,CD274,PDCD1,0.0065912531203582,0.01801659167819889,0.0013996803847366064,1.0,-8.162819656853822,False
