source_index,target_index,source_cell_type,target_cell_type,distance_um,edge_cost,distance_decay_attention
1025,1040,epithelial,epithelial,16.232372,0.5486173629760742,0.64377785
1032,1025,epithelial,epithelial,13.499571,0.4538887143135071,0.69496655
6414,1093,epithelial,epithelial,16.772112,0.5720291137695312,0.6311479
1213,1424,epithelial,epithelial,14.606905,0.49125751852989197,0.6744362
1213,1215,epithelial,epithelial,16.550964,0.5590125322341919,0.638475
1980,2245,epithelial,epithelial,11.923146,0.40056928992271423,0.725364
6424,1093,epithelial,epithelial,18.58614,0.635201096534729,0.59971935
1756,1752,epithelial,epithelial,12.832165,0.43105924129486084,0.7078582
2249,2245,fibroblast,epithelial,11.632057,0.07754705101251602,1.0
5710,5711,epithelial,epithelial,10.313941,0.34956806898117065,0.75517297
5725,5637,epithelial,epithelial,15.184734,0.5115038752555847,0.66346955
1424,6396,epithelial,epithelial,17.336098,0.5869950652122498,0.62411475
2459,4210,fibroblast,epithelial,7.258862,0.048392415046691895,1.0
2459,2460,fibroblast,epithelial,8.756856,0.05837903916835785,1.0
2446,4210,fibroblast,epithelial,8.48671,0.05657806247472763,1.0
1592,1633,epithelial,epithelial,14.402001,0.48700249195098877,0.6763875
1820,1823,epithelial,epithelial,8.149135,0.2734728455543518,0.803205
6397,1032,epithelial,epithelial,13.831411,0.4664436876773834,0.6878157
2597,5004,epithelial,epithelial,12.74878,0.4296342432498932,0.7084737
5732,5725,epithelial,epithelial,16.232098,0.548121988773346,0.64409566
1463,1459,epithelial,epithelial,10.497697,0.35242849588394165,0.753939
1223,1215,epithelial,epithelial,16.064112,0.5424647331237793,0.6470248
1752,6238,epithelial,epithelial,8.435144,0.28287169337272644,0.7972098
1686,5901,epithelial,epithelial,11.234415,0.3781334161758423,0.7384238
4214,4215,epithelial,epithelial,8.082689,0.27050453424453735,0.8052359
2249,2250,fibroblast,epithelial,12.415354,0.08276902884244919,1.0
4512,1981,epithelial,epithelial,7.4615493,0.25038382411003113,0.8182068
5703,3213,epithelial,epithelial,16.51289,0.5622856020927429,0.63622713
951,952,epithelial,epithelial,9.71757,0.3270323574542999,0.7693198
5589,3102,epithelial,epithelial,9.659382,0.32464537024497986,0.77085924
2446,2447,fibroblast,epithelial,9.116572,0.060777150094509125,1.0
2460,2418,epithelial,fibroblast,13.62222,0.45974424481391907,0.6914742
357,352,epithelial,epithelial,7.111788,0.2402936816215515,0.8245795
5600,5598,epithelial,epithelial,14.821403,0.5023272633552551,0.66796607
6235,6579,epithelial,epithelial,18.035528,0.6112484931945801,0.61200696
5732,5600,epithelial,epithelial,14.852632,0.4998777508735657,0.66974366
5406,2395,epithelial,epithelial,15.469507,0.5200773477554321,0.65905565
863,1267,epithelial,epithelial,12.271275,0.41201430559158325,0.7187758
853,861,epithelial,epithelial,13.4565,0.45345309376716614,0.69506973
2234,2226,epithelial,epithelial,11.025592,0.3726896047592163,0.74142176
3036,3039,epithelial,epithelial,11.836568,0.40004676580429077,0.72532433
778,6543,epithelial,epithelial,13.873162,0.4675617218017578,0.68723845
2093,2081,epithelial,epithelial,8.895484,0.2988422214984894,0.7869906
3021,3036,epithelial,epithelial,14.479038,0.49208393692970276,0.6733049
791,789,epithelial,epithelial,9.428989,0.316269189119339,0.77615017
5607,5608,epithelial,epithelial,10.97627,0.37030333280563354,0.7429488
6202,1912,epithelial,epithelial,14.4886675,0.4898258447647095,0.6748703
2482,5406,epithelial,epithelial,14.237879,0.4786955714225769,0.6812838
1495,1593,epithelial,epithelial,15.334267,0.5162429809570312,0.6609914
5030,5023,epithelial,epithelial,17.24796,0.5828370451927185,0.62634706
6211,1716,epithelial,epithelial,14.458589,0.4895402789115906,0.6749277
6603,962,epithelial,epithelial,14.493056,0.4894823729991913,0.6751219
890,916,epithelial,epithelial,13.816367,0.46533703804016113,0.6885083
3213,3214,epithelial,epithelial,13.852735,0.4676271677017212,0.6870999
1124,5954,epithelial,epithelial,16.174685,0.5436051487922668,0.6467639
2445,4252,epithelial,epithelial,11.062863,0.3715936243534088,0.74241924
6665,6666,epithelial,epithelial,8.980355,0.3013283610343933,0.78548074
979,981,epithelial,epithelial,11.352604,0.38183099031448364,0.7362784
1412,6701,epithelial,epithelial,14.529388,0.48903027176856995,0.6755908
